DATE,BUSAPPWNSAUS
2006-01-07,39700
2006-01-14,36760
2006-01-21,63370
2006-01-28,51890
2006-02-04,61490
2006-02-11,62740
2006-02-18,61850
2006-02-25,58210
2006-03-04,52160
2006-03-11,63370
2006-03-18,61100
2006-03-25,62730
2006-04-01,62060
2006-04-08,62360
2006-04-15,59180
2006-04-22,55230
2006-04-29,54980
2006-05-06,58300
2006-05-13,58540
2006-05-20,55170
2006-05-27,54180
2006-06-03,52860
2006-06-10,40440
2006-06-17,53850
2006-06-24,53820
2006-07-01,50590
2006-07-08,50170
2006-07-15,35420
2006-07-22,51400
2006-07-29,50100
2006-08-05,49160
2006-08-12,48690
2006-08-19,49300
2006-08-26,49110
2006-09-02,50420
2006-09-09,49680
2006-09-16,37090
2006-09-23,48760
2006-09-30,48570
2006-10-07,49980
2006-10-14,49790
2006-10-21,38030
2006-10-28,45530
2006-11-04,46220
2006-11-11,45490
2006-11-18,36070
2006-11-25,51310
2006-12-02,36160
2006-12-09,43940
2006-12-16,45050
2006-12-23,46140
2006-12-30,61240
2007-01-06,41600
2007-01-13,17650
2007-01-20,74190
2007-01-27,51080
2007-02-03,61530
2007-02-10,61720
2007-02-17,57750
2007-02-24,54360
2007-03-03,46330
2007-03-10,61830
2007-03-17,66570
2007-03-24,60140
2007-03-31,59690
2007-04-07,57650
2007-04-14,56710
2007-04-21,53670
2007-04-28,55840
2007-05-05,58000
2007-05-12,56880
2007-05-19,53970
2007-05-26,53760
2007-06-02,54470
2007-06-09,41920
2007-06-16,55170
2007-06-23,51570
2007-06-30,50900
2007-07-07,51510
2007-07-14,39030
2007-07-21,49200
2007-07-28,51460
2007-08-04,48000
2007-08-11,53660
2007-08-18,49510
2007-08-25,46750
2007-09-01,48900
2007-09-08,50570
2007-09-15,34980
2007-09-22,49890
2007-09-29,61050
2007-10-06,54690
2007-10-13,54840
2007-10-20,43330
2007-10-27,51320
2007-11-03,50520
2007-11-10,49190
2007-11-17,48200
2007-11-24,42730
2007-12-01,33840
2007-12-08,46230
2007-12-15,47420
2007-12-22,47110
2007-12-29,49990
2008-01-05,32250
2008-01-12,33390
2008-01-19,60090
2008-01-26,59900
2008-02-02,54030
2008-02-09,61000
2008-02-16,57050
2008-02-23,55340
2008-03-01,52280
2008-03-08,61260
2008-03-15,59730
