DATE,RSFSDPN_20200814,RSFSDPN_20200916
1/1/2010,35513,35513
2/1/2010,35359,35359
3/1/2010,39374,39374
4/1/2010,39393,39393
5/1/2010,40785,40785
6/1/2010,39421,39421
7/1/2010,41024,41024
8/1/2010,40308,40308
9/1/2010,38361,38361
10/1/2010,40150,40150
11/1/2010,37447,37447
12/1/2010,39785,39785
1/1/2011,36961,36961
2/1/2011,37394,37394
3/1/2011,42036,42036
4/1/2011,41761,41761
5/1/2011,43020,43020
6/1/2011,42080,42080
7/1/2011,43301,43301
8/1/2011,42385,42385
9/1/2011,41383,41383
10/1/2011,42415,42415
11/1/2011,39703,39703
12/1/2011,42911,42911
1/1/2012,39644,39644
2/1/2012,40931,40931
3/1/2012,45647,45647
4/1/2012,43755,43755
5/1/2012,45479,45479
6/1/2012,44892,44892
7/1/2012,44506,44506
8/1/2012,44936,44936
9/1/2012,43027,43027
10/1/2012,43577,43577
11/1/2012,42472,42472
12/1/2012,45295,45295
1/1/2013,41798,41798
2/1/2013,41496,41496
3/1/2013,47564,47564
4/1/2013,45560,45560
5/1/2013,47488,47488
6/1/2013,45440,45440
7/1/2013,45482,45482
8/1/2013,46893,46893
9/1/2013,43653,43653
10/1/2013,46062,46062
11/1/2013,45288,45288
12/1/2013,46589,46589
1/1/2014,42932,42932
2/1/2014,42890,42890
3/1/2014,49410,49410
4/1/2014,47708,47708
5/1/2014,51054,51054
6/1/2014,47895,47895
7/1/2014,48690,48690
8/1/2014,50086,50086
9/1/2014,47070,47070
10/1/2014,50135,50135
11/1/2014,47614,47614
12/1/2014,50732,50732
1/1/2015,47960,47960
2/1/2015,46604,46604
3/1/2015,53122,53122
4/1/2015,52285,52285
5/1/2015,55409,55409
6/1/2015,52042,52042
7/1/2015,53140,53140
8/1/2015,53176,53176
9/1/2015,50762,50762
10/1/2015,54048,54048
11/1/2015,50283,50283
12/1/2015,54663,54663
1/1/2016,50087,50087
2/1/2016,51495,51495
3/1/2016,55878,55878
4/1/2016,56336,56336
5/1/2016,57015,57015
6/1/2016,54609,54609
7/1/2016,56000,56000
8/1/2016,55169,55169
9/1/2016,54270,54270
10/1/2016,55691,55691
11/1/2016,53253,53253
12/1/2016,57425,57425
1/1/2017,52825,52825
2/1/2017,52655,52655
3/1/2017,60033,60033
4/1/2017,58472,58472
5/1/2017,60059,60059
6/1/2017,58588,58588
7/1/2017,58451,58451
8/1/2017,58507,58507
9/1/2017,57086,57086
10/1/2017,58164,58164
11/1/2017,55690,55690
12/1/2017,61129,61129
1/1/2018,54531,54531
2/1/2018,54760,54760
3/1/2018,63490,63490
4/1/2018,60259,60259
5/1/2018,64038,64038
6/1/2018,63572,63572
7/1/2018,63539,63539
8/1/2018,64576,64576
9/1/2018,59966,59966
10/1/2018,61613,61613
11/1/2018,58991,58991
12/1/2018,62820,62820
1/1/2019,56748,56748
2/1/2019,56868,56868
3/1/2019,66187,66187
4/1/2019,63454,63454
5/1/2019,67664,67664
6/1/2019,66031,66031
7/1/2019,65943,65943
8/1/2019,67710,67710
9/1/2019,62775,62775
10/1/2019,65005,65005
11/1/2019,62326,62326
12/1/2019,65085,65085
1/1/2020,60769,60769
2/1/2020,62091,62091
3/1/2020,47328,47328
4/1/2020,30122,30122
5/1/2020,42308,42308
6/1/2020,50894,51092
7/1/2020,54406,54065
8/1/2020,.,56119
