DATE,RSGCS_20200814,RSGCS_20200916
2010-01-01,43028,43028
2010-02-01,43735,43735
2010-03-01,43304,43304
2010-04-01,43186,43186
2010-05-01,43266,43266
2010-06-01,42963,42963
2010-07-01,43011,43011
2010-08-01,43258,43258
2010-09-01,43601,43601
2010-10-01,43493,43493
2010-11-01,44077,44077
2010-12-01,44184,44184
2011-01-01,44684,44684
2011-02-01,44961,44961
2011-03-01,45068,45068
2011-04-01,45723,45723
2011-05-01,45365,45365
2011-06-01,45791,45791
2011-07-01,45797,45797
2011-08-01,46034,46034
2011-09-01,45840,45840
2011-10-01,46047,46047
2011-11-01,46185,46185
2011-12-01,46035,46035
2012-01-01,46248,46248
2012-02-01,46353,46353
2012-03-01,46753,46753
2012-04-01,46927,46927
2012-05-01,46873,46873
2012-06-01,46842,46842
2012-07-01,46956,46956
2012-08-01,47013,47013
2012-09-01,47131,47131
2012-10-01,47449,47449
2012-11-01,47310,47310
2012-12-01,47097,47097
2013-01-01,47219,47219
2013-02-01,47641,47641
2013-03-01,47577,47577
2013-04-01,47245,47245
2013-05-01,47728,47728
2013-06-01,47711,47711
2013-07-01,48013,48013
2013-08-01,48085,48085
2013-09-01,48190,48190
2013-10-01,48339,48339
2013-11-01,48337,48337
2013-12-01,48875,48875
2014-01-01,49018,49018
2014-02-01,49046,49046
2014-03-01,49131,49131
2014-04-01,49419,49419
2014-05-01,49641,49641
2014-06-01,50008,50008
2014-07-01,50219,50219
2014-08-01,50342,50342
2014-09-01,50545,50545
2014-10-01,50741,50741
2014-11-01,50743,50743
2014-12-01,50898,50898
2015-01-01,50969,50969
2015-02-01,51039,51039
2015-03-01,50984,50984
2015-04-01,50845,50845
2015-05-01,50952,50952
2015-06-01,51121,51121
2015-07-01,51302,51302
2015-08-01,51327,51327
2015-09-01,51194,51194
2015-10-01,51034,51034
2015-11-01,51435,51435
2015-12-01,51154,51154
2016-01-01,51481,51481
2016-02-01,51314,51314
2016-03-01,50886,50886
2016-04-01,51504,51504
2016-05-01,51706,51706
2016-06-01,51995,51995
2016-07-01,51673,51673
2016-08-01,51886,51886
2016-09-01,52109,52109
2016-10-01,52451,52451
2016-11-01,52452,52452
2016-12-01,52564,52564
2017-01-01,52860,52860
2017-02-01,53164,53164
2017-03-01,53647,53647
2017-04-01,53728,53728
2017-05-01,53850,53850
2017-06-01,53689,53689
2017-07-01,53790,53790
2017-08-01,53981,53981
2017-09-01,54630,54630
2017-10-01,54773,54773
2017-11-01,54882,54882
2017-12-01,55275,55275
2018-01-01,55021,55021
2018-02-01,55077,55077
2018-03-01,55240,55240
2018-04-01,55545,55545
2018-05-01,55490,55490
2018-06-01,55349,55349
2018-07-01,55716,55716
2018-08-01,55552,55552
2018-09-01,55661,55661
2018-10-01,55835,55835
2018-11-01,55821,55821
2018-12-01,55486,55486
2019-01-01,56660,56660
2019-02-01,55248,55248
2019-03-01,56334,56334
2019-04-01,56502,56502
2019-05-01,56622,56622
2019-06-01,57005,57005
2019-07-01,57692,57692
2019-08-01,57701,57701
2019-09-01,57220,57220
2019-10-01,57201,57201
2019-11-01,57438,57438
2019-12-01,57622,57622
2020-01-01,57495,57495
2020-02-01,57337,57337
2020-03-01,73714,73714
2020-04-01,63869,63869
2020-05-01,64667,64667
2020-06-01,63551,63454
2020-07-01,63828,63916
2020-08-01,.,62905
